mz,intensity
265.969,0
266,0
266.03,0
266.05,0
266.07,0
266.09,0
266.099,0
266.11,0
266.15,0
266.159,0
266.17,0
266.19,0
266.21,0
266.25,0
266.26,0
266.28,0
266.31,0
266.32,0
266.349,0
266.37,0
266.38,0
266.409,0
266.419,0
266.44,0
266.45,0
266.49,0
266.5,0
266.51,0
266.539,0
266.56,0
266.57,0
266.59,0
266.63,0
266.64,0
266.659,0
266.68,0
266.71,0
266.719,0
266.74,0
266.77,0
266.78,0
266.81,0
266.82,0
266.83,0
266.849,0
266.89,0
266.909,0
266.93,0
266.94,0
266.969,0
266.979,0
267.01,0
267.02,0
267.05,0
267.07,0
267.08,0
267.09,0
267.11,0
267.15,0
267.159,0
267.19,0
267.2,0
267.23,0
267.24,0
267.25,0
267.27,0
267.289,0
267.32,0
267.33,0
267.359,0
267.38,0
267.39,0
267.419,0
267.45,0
267.46,0
267.49,0
267.51,0
267.53,0
267.539,0
267.55,0
267.57,0
267.61,0
267.62,0
267.64,0
267.65,0
267.67,0
267.71,0
267.719,0
267.75,0
267.76,0
267.78,0
267.789,0
267.82,0
267.849,0
267.859,0
267.87,0
267.9,0
267.93,0
267.94,0
267.95,0
267.969,0
268.01,0
268.03,0
268.05,0
268.07,0
268.08,0
268.11,0
268.12,0
268.13,0
268.17,0
268.18,0
268.19,0
268.23,0
268.24,0
268.25,0
268.27,0
268.31,0
268.32,0
268.34,0
268.37,0
268.39,0
268.409,0
268.419,0
268.43,0
268.469,0
268.49,0
268.5,0
268.53,0
268.55,0
268.56,0
268.59,0
268.61,0
268.62,0
268.65,0
268.659,0
268.69,0
268.7,0
268.73,0
268.75,0
268.77,0
268.789,0
268.799,0
268.81,0
268.849,0
268.859,0
268.89,0
268.9,0
268.909,0
268.95,0
268.96,0
268.969,0
269.01,0
269.03,0
269.05,0
269.07,0
269.09,0
269.099,0
269.13,0
269.14,0
269.159,0
269.17,0
269.19,0
269.23,0
269.25,0
269.26,1.53642821741285
269.27,0
269.289,0
269.31,0
269.33,0
269.37,0
269.38,0
269.4,0
269.43,0
269.44,0
269.45,0
269.469,0
269.51,0
269.53,0
269.539,0
269.57,0
269.58,0
269.61,0
269.62,0
269.63,0
269.659,0
269.69,0
269.7,0
269.73,0
269.75,0
269.76,0
269.789,0
269.799,0
269.83,0
269.84,0
269.849,0
269.89,0
269.9,0
269.909,0
269.95,0
269.96,0
269.969,0
269.99,0
270.03,0
270.039,0
270.07,0
270.09,0
270.099,0
270.13,0
270.15,0
270.159,0
270.17,0
270.19,0
270.21,0
270.25,0
270.26,0
270.27,0
270.289,0
270.31,0
270.349,0
270.359,0
270.39,0
270.409,0
270.419,0
270.45,0
270.46,0
270.469,0
270.49,0
270.52,0
270.55,0
270.56,0
270.57,0
270.61,0
